normalized-losses,make,fuel-type,num-of-doors,length,width,height,horsepower,city-kpl,price-OMR
122,plymouth,gas,two,173.2,66.3,50.2,145,8.17,4977.96
186,porsche,gas,two,168.9,68.3,50.2,143,8.17,8587.02
122,porsche,gas,two,168.9,65,51.6,207,7.31,12685.92
122,porsche,gas,two,168.9,65,51.6,207,7.31,13270.92
122,porsche,gas,two,168.9,65,51.6,207,7.31,14440.92
122,renault,gas,four,181.5,66.5,55.2,95,9.89,3625.05
122,renault,gas,two,176.8,66.6,50.5,95,9.89,3859.05
150,saab,gas,two,186.6,66.5,56.1,110,9.03,4621.5
104,saab,gas,four,186.6,66.5,56.1,110,9.03,4746.3
150,saab,gas,two,186.6,66.5,56.1,110,9.03,5865.6
104,saab,gas,four,186.6,66.5,56.1,110,9.03,6048.9
150,saab,gas,two,186.6,66.5,56.1,160,8.17,7078.5
104,saab,gas,four,186.6,66.5,56.1,160,8.17,7261.8
83,subaru,gas,two,156.9,63.4,53.7,69,13.33,1996.02
83,subaru,gas,two,157.9,63.6,53.7,73,11.18,2750.67
83,subaru,gas,two,157.3,63.8,55.7,73,11.18,2965.17
102,subaru,gas,four,172,65.4,52.5,82,13.76,2779.14
102,subaru,gas,four,172,65.4,52.5,82,12.04,3032.25
102,subaru,gas,four,172,65.4,52.5,94,11.18,3884.4
102,subaru,gas,four,172,65.4,54.3,82,10.32,3600.87
102,subaru,gas,four,172,65.4,54.3,111,10.32,4391.01
89,subaru,gas,four,173.5,65.4,53,82,12.04,2910.57
89,subaru,gas,four,173.5,65.4,53,94,10.75,3977.22
85,subaru,gas,four,173.6,65.4,54.9,82,9.89,3125.07
85,subaru,gas,four,173.6,65.4,54.9,111,9.89,4560.66
87,toyota,gas,two,158.7,63.6,54.5,62,15.05,2085.72
87,toyota,gas,two,158.7,63.6,54.5,62,13.33,2471.82
74,toyota,gas,four,158.7,63.6,54.5,62,13.33,2530.32
77,toyota,gas,four,169.7,63.6,59.1,62,13.33,2698.02
81,toyota,gas,four,169.7,63.6,59.1,62,11.61,3080.22
91,toyota,gas,four,169.7,63.6,59.1,62,11.61,3423.42
91,toyota,gas,four,166.3,64.4,53,70,12.9,2705.82
91,toyota,gas,four,166.3,64.4,52.8,70,12.9,2807.22
91,toyota,diesel,four,166.3,64.4,53,56,14.62,3080.22
91,toyota,diesel,four,166.3,64.4,52.8,56,16.34,3037.32
91,toyota,gas,four,166.3,64.4,53,70,16.34,3017.82
91,toyota,gas,four,166.3,64.4,52.8,70,12.04,3259.62
91,toyota,gas,four,166.3,64.4,52.8,70,12.04,3610.62
168,toyota,gas,two,168.7,64,52.6,70,12.47,3142.62
168,toyota,gas,two,168.7,64,52.6,70,12.47,3212.82
168,toyota,gas,two,168.7,64,52.6,112,11.18,3626.22
168,toyota,gas,two,168.7,64,52.6,112,11.18,3719.82
134,toyota,gas,two,176.2,65.6,52,116,10.32,3295.11
134,toyota,gas,two,176.2,65.6,52,116,10.32,3759.21
134,toyota,gas,two,176.2,65.6,52,116,10.32,3895.71
134,toyota,gas,two,176.2,65.6,52,116,10.32,4367.61
134,toyota,gas,two,176.2,65.6,52,116,10.32,4504.11
134,toyota,gas,two,176.2,65.6,53,116,10.32,6890.91
65,toyota,gas,four,175.6,66.5,54.9,92,12.47,3489.72
65,toyota,diesel,four,175.6,66.5,54.9,73,12.9,4172.22
65,toyota,gas,four,175.6,66.5,53.9,92,11.61,3895.32
65,toyota,gas,four,175.6,66.5,54.9,92,11.61,4250.22
65,toyota,gas,four,175.6,66.5,53.9,92,11.61,4386.72
197,toyota,gas,two,183.5,67.7,52,161,8.6,6457.62
197,toyota,gas,two,183.5,67.7,52,161,8.17,6239.22
90,toyota,gas,four,187.8,66.5,54.1,156,8.6,6119.1
122,toyota,gas,four,187.8,66.5,54.1,156,8.17,6142.5
122,volkswagen,diesel,two,171.7,65.5,55.7,52,15.91,3032.25
122,volkswagen,gas,two,171.7,65.5,55.7,85,11.61,3110.25
94,volkswagen,diesel,four,171.7,65.5,55.7,52,15.91,3118.05
94,volkswagen,gas,four,171.7,65.5,55.7,85,11.61,3196.05
94,volkswagen,gas,four,171.7,65.5,55.7,85,11.61,3313.05
94,volkswagen,diesel,four,171.7,65.5,55.7,68,15.91,3703.05
94,volkswagen,gas,four,171.7,65.5,55.7,100,11.18,3898.05
122,volkswagen,gas,two,159.3,64.2,55.6,90,10.32,4522.05
256,volkswagen,gas,two,165.7,64,51.4,90,10.32,3892.2
122,volkswagen,gas,four,180.2,66.9,55.1,110,8.17,5185.05
122,volkswagen,diesel,four,180.2,66.9,55.1,68,14.19,5399.55
122,volkswagen,gas,four,183.1,66.9,55.1,88,10.75,4793.1
103,volvo,gas,four,188.8,67.2,56.2,114,9.89,5046.6
74,volvo,gas,four,188.8,67.2,57.5,114,9.89,5231.85
103,volvo,gas,four,188.8,67.2,56.2,114,10.32,6234.15
74,volvo,gas,four,188.8,67.2,57.5,114,10.32,6440.85
103,volvo,gas,four,188.8,67.2,56.2,162,7.31,7183.8
74,volvo,gas,four,188.8,67.2,57.5,162,7.31,7390.5
95,volvo,gas,four,188.8,68.9,55.5,114,9.89,6569.55
95,volvo,gas,four,188.8,68.8,55.5,160,8.17,7427.55
95,volvo,gas,four,188.8,68.9,55.5,134,7.74,8379.15
95,volvo,diesel,four,188.8,68.9,55.5,106,11.18,8763.3
95,volvo,gas,four,188.8,68.9,55.5,114,8.17,8823.75
